Hospital Number,State,Hospname,Wait Time,Establishment ID,Parent Id,State Average wait time,Unit,Medicare Prov Number,Address Line 1,Address Line 2,Latitude,Longitude,Australia,Full Address,Remoteness area (code),Remoteness area,Number of available beds,2012-13 Peer Group code,2012-13 Peer Group Name,Admissions reported,Emergency department,Elective surgery reported,Outpatient clinics,2011-12 Peer Group code,2011-12 Peer Group Name,Hospital Group
259,QLD,BIGGENDEN HOSPITAL,,310000061,,Y,Hospital,,Alice Street,Biggenden 4621,-25.506506,152.050372,Australia,Alice Street Biggenden 4621 QLD Australia,2,Outer Regional,7,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
306,QLD,BILOELA HOSPITAL,,310000133,,Y,Hospital,,2 Hospital Road,Biloela 4715,-24.39599,150.517654,Australia,2 Hospital Road Biloela 4715 QLD Australia,2,Outer Regional,25,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
319,QLD,BLACKALL HOSPITAL,,310000153,,Y,Hospital,,Shamrock Street,Blackall 4472,,,Australia,Shamrock Street Blackall 4472 QLD Australia,4,Very remote,16,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
307,QLD,BLACKWATER HOSPITAL,,310000134,,Y,Hospital,,Mackenzie Street,Blackwater 4717,,,Australia,Mackenzie Street Blackwater 4717 QLD Australia,2,Outer Regional,10,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
250,QLD,BOONAH HOSPITAL,,310000042,,Y,Hospital,,11-17 Leonard Street,Boonah 4310,-27.9991052,152.6780064,Australia,11-17 Leonard Street Boonah 4310 QLD Australia,1,Inner Regional,23,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
320,QLD,BOULIA PRIMARY HEALTH CENTRE,,310000154,,Y,Hospital,,Wills Street,Boulia 4829,-22.910818,139.90949,Australia,Wills Street Boulia 4829 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
336,QLD,BOWEN HOSPITAL,,310000192,,Y,Hospital,,Gregory Street,Bowen 4805,,,Australia,Gregory Street Bowen 4805 QLD Australia,2,Outer Regional,27,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
260,QLD,BUNDABERG HOSPITAL,18,310000062,,,Hospital,,Bourbong Street,Bundaberg 4670,-24.864543,152.354305,Australia,Bourbong Street Bundaberg 4670 QLD Australia,1,Inner Regional,243,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
367,QLD,BURKETOWN HEALTH CLINIC,,310000241,,Y,Hospital,,Hospital Road,Burketown 4830,-17.857939,138.947606,Australia,Hospital Road Burketown 4830 QLD Australia,4,Very remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
248,QLD,CABOOLTURE HOSPITAL,23,310000030,,,Hospital,,McKean Street,Caboolture 4510,-27.078739,152.957281,Australia,McKean Street Caboolture 4510 QLD Australia,0,Major Cities,223,M,Medium public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
347,QLD,CAIRNS BASE HOSPITAL,16,310000214,,,Hospital,,The Esplanade,Cairns 4870,-16.914875,145.772366,Australia,The Esplanade Cairns 4870 QLD Australia,2,Outer Regional,480,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
251,QLD,CALOUNDRA HOSPITAL,15,310000043,,,Hospital,,West Terrace,Caloundra 4551,-26.795872,153.100839,Australia,West Terrace Caloundra 4551 QLD Australia,0,Major Cities,88,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
368,QLD,CAMOOWEAL HEALTH CLINIC,,310000242,,Y,Hospital,,Nowranie Street,Camooweal 4828,-19.919411,138.120252,Australia,Nowranie Street Camooweal 4828 QLD Australia,4,Very remote,3,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
382,QLD,CAPELLA OUTPATIENTS CLINIC,,310000905,,Y,Hospital,,Main Street,Bollon 4488,-28.031544,147.4784,Australia,Main Street Bollon 4488 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
315,QLD,CAPRICORN COAST HOSPITAL & HEALTH SERVICE,,310000144,,Y,Hospital,,8 Hoskyn Drive,Yeppoon 4703,-23.1441528,150.7347308,Australia,8 Hoskyn Drive Yeppoon 4703 QLD Australia,1,Inner Regional,28,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,C2,Medium (group 2),SM
292,QLD,CHARLEVILLE HOSPITAL,,310000112,,Y,Hospital,,72 King Street,Charleville 4470,-26.40041,146.253021,Australia,72 King Street Charleville 4470 QLD Australia,4,Very remote,30,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D3,Small remote acute,SM
337,QLD,CHARTERS TOWERS HOSPITAL,,310000193,,Y,Hospital,,137-139 Gill Street,Charters Towers 4820,-20.07604,146.26416,Australia,137-139 Gill Street Charters Towers 4820 QLD Australia,2,Outer Regional,29,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
401,QLD,CHARTERS TOWERS REHABILITATION UNIT,,340000703,,Y,Hospital,,35 Gladstone Road,Charters Towers 4820,-20.075896,146.279307,Australia,35 Gladstone Road Charters Towers 4820 QLD Australia,2,Outer Regional,27,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
261,QLD,CHERBOURG HOSPITAL,,310000063,,Y,Hospital,,Fisher Street,Cherbourg 4605,-26.294919,151.95432,Australia,Fisher Street Cherbourg 4605 QLD Australia,2,Outer Regional,17,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
262,QLD,CHILDERS HOSPITAL,,310000064,,Y,Hospital,,44 Broadhurst Street,Childers 4660,-25.2398181,152.2740162,Australia,44 Broadhurst Street Childers 4660 QLD Australia,1,Inner Regional,14,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
348,QLD,CHILLAGOE HOSPITAL,,310000215,,Y,Hospital,,21 Hospital Road,Chillagoe 4871,-17.149549,144.5289,Australia,21 Hospital Road Chillagoe 4871 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
276,QLD,CHINCHILLA HOSPITAL,,310000091,,Y,Hospital,,Slessar Street,Chinchilla 4413,-26.744844,150.639785,Australia,Slessar Street Chinchilla 4413 QLD Australia,2,Outer Regional,26,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
329,QLD,CLERMONT HOSPITAL,,310000171,,Y,Hospital,,Francis Street,Clermont 4721,,,Australia,Francis Street Clermont 4721 QLD Australia,3,Remote,10,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
369,QLD,CLONCURRY HOSPITAL,,310000243,,Y,Hospital,,1 Musgrave Street,Cloncurry 4824,-20.703367,140.52699,Australia,1 Musgrave Street Cloncurry 4824 QLD Australia,3,Remote,25,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
381,QLD,COEN PRIMARY HEALTH CARE CENTRE,,310000255,,Y,Hospital,,Armbrust Street,Coen 4871,-13.944834,143.200996,Australia,Armbrust Street Coen 4871 QLD Australia,4,Very remote,1,VS,Very small public,No,No,No,No,G,Un-peered and other,SM
338,QLD,COLLINSVILLE HOSPITAL,,310000194,,Y,Hospital,,Garrick Street,Collinsville 4804,-20.546829,147.840325,Australia,Garrick Street Collinsville 4804 QLD Australia,3,Remote,8,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
349,QLD,COOKTOWN HOSPITAL,,310000216,,Y,Hospital,,48 Hope Street,Cooktown 4895,-15.47774,145.250412,Australia,48 Hope Street Cooktown 4895 QLD Australia,3,Remote,18,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
383,QLD,CRACOW OUTPATIENTS CLINIC,,310000907,,Y,Hospital,,Slider Street,Capella 4702,-23.080237,148.023022,Australia,Slider Street Capella 4702 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
350,QLD,CROYDON HOSPITAL,,310000217,,Y,Hospital,,Sircom Street,Croydon 4871,,,Australia,Sircom Street Croydon 4871 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
293,QLD,CUNNAMULLA HOSPITAL,,310000113,,Y,Hospital,,56 Wicks Street,Cunnamulla 4490,-28.07089,145.689087,Australia,56 Wicks Street Cunnamulla 4490 QLD Australia,4,Very remote,20,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
377,QLD,DAJARRA HEALTH CLINIC,,310000251,,Y,Hospital,,12 Matheson Street,Dajarra 4825,-21.694518,139.513727,Australia,12 Matheson Street Dajarra 4825 QLD Australia,4,Very remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
277,QLD,DALBY HOSPITAL,,310000092,,Y,Hospital,,Hospital Road,Dalby 4405,-27.17078,151.276139,Australia,Hospital Road Dalby 4405 QLD Australia,1,Inner Regional,46,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,C2,Medium (group 2),SM
384,QLD,DIMBULAH OUTPATIENTS CLINIC,,310000908,,Y,Hospital,,Fourth Avenue,Cracow 4719,-25.293859,150.297583,Australia,Fourth Avenue Cracow 4719 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
294,QLD,DIRRANBANDI HOSPITAL,,310000114,,Y,Hospital,,Corner of Jane and Cowildi Streets,Dirranbandi 4486,,,Australia,Corner of Jane and Cowildi Streets Dirranbandi 4486 QLD Australia,4,Very remote,7,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
378,QLD,DOOMADGEE HOSPITAL,,310000252,,Y,Hospital,,Sharpe Street,Doomadgee 4830,-17.942599,138.824577,Australia,Sharpe Street Doomadgee 4830 QLD Australia,4,Very remote,7,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
385,QLD,DUARINGA OUTPATIENTS CLINIC,,310000910,,Y,Hospital,,3-5 Stephens Street,Dimbulah 4872,-17.146669,145.106781,Australia,3-5 Stephens Street Dimbulah 4872 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
334,QLD,DYSART HOSPITAL,,310000176,,Y,Hospital,,Queen Elizabeth Drive,Dysart 4745,,,Australia,Queen Elizabeth Drive Dysart 4745 QLD Australia,2,Outer Regional,9,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
263,QLD,EIDSVOLD HOSPITAL,,310000065,,Y,Hospital,,Cracow Road,Eidsvold 4627,-25.381791,150.854992,Australia,Cracow Road Eidsvold 4627 QLD Australia,2,Outer Regional,6,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,SM
242,QLD,ELLEN BARRON FAMILY CENTRE,,310000017,,Y,Hospital,,Hamilton Road,Chermside 4032,-27.38242,153.00759,Australia,Hamilton Road Chermside 4032 QLD Australia,0,Major Cities,48,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft,WC
308,QLD,EMERALD HOSPITAL,,310000135,,Y,Hospital,,69 Hospital Road,Emerald 4720,-23.511979,148.156001,Australia,69 Hospital Road Emerald 4720 QLD Australia,2,Outer Regional,37,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
252,QLD,ESK HOSPITAL,,310000044,,Y,Hospital,,30 Highland Street,Esk 4312,-27.2404,152.418137,Australia,30 Highland Street Esk 4312 QLD Australia,1,Inner Regional,20,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
351,QLD,FORSAYTH HOSPITAL,,310000218,,Y,Hospital,,Fourth Street,Forsayth 4871,-18.590037,143.603759,Australia,Fourth Street Forsayth 4871 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
253,QLD,GATTON HOSPITAL,,310000045,,Y,Hospital,,97-103 William Street,Gatton 4343,-27.56682,152.27623,Australia,97-103 William Street Gatton 4343 QLD Australia,1,Inner Regional,22,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
264,QLD,GAYNDAH HOSPITAL,,310000066,,Y,Hospital,,69 Warton Street,Gayndah 4625,-25.628291,151.605718,Australia,69 Warton Street Gayndah 4625 QLD Australia,2,Outer Regional,12,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
398,QLD,GEMFIELDS OUTPATIENTS CLINIC,,310000940,,Y,Hospital,,984 Rubyvale Road,Sapphire 4702,,,Australia,984 Rubyvale Road Sapphire 4702 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
352,QLD,GEORGETOWN HOSPITAL,,310000219,,Y,Hospital,,High Street,Georgetown 4871,,,Australia,High Street Georgetown 4871 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
265,QLD,GIN GIN HOSPITAL,,310000067,,Y,Hospital,,5 King Street,Gin Gin 4671,-24.9868289,151.9534439,Australia,5 King Street Gin Gin 4671 QLD Australia,2,Outer Regional,6,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
309,QLD,GLADSTONE HOSPITAL,11,310000136,,,Hospital,,Park Street,Gladstone 4680,-23.852101,151.246509,Australia,Park Street Gladstone 4680 QLD Australia,1,Inner Regional,78,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
386,QLD,GLENMORGAN OUTPATIENTS CLINIC,,310000912,,Y,Hospital,,Corner of Elizabeth and William Streets,Duaringa 4712,,,Australia,Corner of Elizabeth and William Streets Duaringa 4712 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
258,QLD,GOLD COAST HOSPITAL,31,310000050,,,Hospital,,1 Hospital Boulevard,Southport 4215,-27.9709702,153.4088898,Australia,1 Hospital Boulevard Southport 4215 QLD Australia,0,Major Cities,570,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
278,QLD,GOONDIWINDI HOSPITAL,,310000093,,Y,Hospital,,Bowen Street,Goondiwindi 4390,-28.548471,150.308452,Australia,Bowen Street Goondiwindi 4390 QLD Australia,2,Outer Regional,37,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
353,QLD,GORDONVALE HOSPITAL,,310000220,,Y,Hospital,,1-11 Highleigh Road,Gordonvale 4865,-17.087351,145.786163,Australia,1-11 Highleigh Road Gordonvale 4865 QLD Australia,2,Outer Regional,24,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other,SP
266,QLD,GYMPIE HOSPITAL,14,310000068,,,Hospital,,12 Henry Street,Gympie 4570,-26.33453,152.818054,Australia,12 Henry Street Gympie 4570 QLD Australia,1,Inner Regional,89,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
354,QLD,HERBERTON HOSPITAL,,310000221,,Y,Hospital,,23 Grace Street,Herberton 4887,-17.379184,145.3815982,Australia,23 Grace Street Herberton 4887 QLD Australia,2,Outer Regional,38,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other,SP
267,QLD,HERVEY BAY HOSPITAL,19,310000069,,,Hospital,,Corner of Nissen and Uraween Roads,Pialba 4655,-25.2991905,152.8212585,Australia,Corner of Nissen and Uraween Roads Pialba 4655 QLD Australia,1,Inner Regional,151,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
339,QLD,HOME HILL HOSPITAL,,310000195,,Y,Hospital,,Tenth Avenue,Home Hill 4806,-19.66166,147.415984,Australia,Tenth Avenue Home Hill 4806 QLD Australia,2,Outer Regional,14,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
364,QLD,HOPEVALE MEDICAL CENTRE,,310000231,,Y,Hospital,,Aerodrome Road,Hope Vale 4895,-15.293416,145.106072,Australia,Aerodrome Road Hope Vale 4895 QLD Australia,3,Remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
370,QLD,HUGHENDEN HOSPITAL,,310000244,,Y,Hospital,,14 Richmond Hill Drive,Hughenden 4821,-20.843398,144.194006,Australia,14 Richmond Hill Drive Hughenden 4821 QLD Australia,4,Very remote,15,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
340,QLD,INGHAM HOSPITAL,,310000196,,Y,Hospital,,2-16 Mcilwraith Street,Ingham 4850,-18.6531135,146.1652932,Australia,2-16 Mcilwraith Street Ingham 4850 QLD Australia,2,Outer Regional,32,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
279,QLD,INGLEWOOD HOSPITAL,,310000094,,Y,Hospital,,Cunningham Highway,Inglewood 4387,-28.411846,151.105305,Australia,Cunningham Highway Inglewood 4387 QLD Australia,2,Outer Regional,12,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
295,QLD,INJUNE HOSPITAL,,310000115,,Y,Hospital,,Fifth Avenue,Injune 4454,-25.846659,148.562968,Australia,Fifth Avenue Injune 4454 QLD Australia,4,Very remote,6,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,SM
355,QLD,INNISFAIL HOSPITAL,,310000222,,Y,Hospital,,87 Rankin Street,Innisfail 4860,-17.519221,146.0295653,Australia,87 Rankin Street Innisfail 4860 QLD Australia,2,Outer Regional,64,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
240,QLD,IPSWICH HOSPITAL,26,310000015,,,Hospital,,Chelmsford Avenue,Ipswich 4305,-27.618858,152.755733,Australia,Chelmsford Avenue Ipswich 4305 QLD Australia,0,Major Cities,341,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
326,QLD,ISISFORD PRIMARY HEALTH CENTRE,,310000160,,Y,Hospital,,St Helena Street,Isisford 4731,,,Australia,St Helena Street Isisford 4731 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
397,QLD,ISLAND MEDICAL SERVICE,,310000939,,Y,Hospital,,Victoria Parade,Thursday Island,-10.585121,142.220295,Australia,Victoria Parade Thursday Island QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
280,QLD,JANDOWAE HOSPITAL,,310000095,,Y,Hospital,,13 Dalby Street,Jandowae 4410,-26.777516,151.111943,Australia,13 Dalby Street Jandowae 4410 QLD Australia,2,Outer Regional,12,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
341,QLD,JOYCE PALMER HEALTH SERVICE,,310000197,,Y,Hospital,,Beach Road,Palm Island 4816,,,Australia,Beach Road Palm Island 4816 QLD Australia,3,Remote,13,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
371,QLD,JULIA CREEK HOSPITAL,,310000245,,Y,Hospital,,1 Burke Street,Julia Creek 4823,-20.655979,141.750244,Australia,1 Burke Street Julia Creek 4823 QLD Australia,4,Very remote,10,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,SM
321,QLD,JUNDAH PRIMARY HEALTH CENTRE,,310000155,,Y,Hospital,,1 Hospital Road,Jundah 4736,-24.821664,143.066577,Australia,1 Hospital Road Jundah 4736 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
376,QLD,KARUMBA HEALTH CLINIC,,310000250,,Y,Hospital,,160 Walker Street,Karumba 4891,-17.48509,140.84665,Australia,160 Walker Street Karumba 4891 QLD Australia,4,Very remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
254,QLD,KILCOY HOSPITAL,,310000046,,Y,Hospital,,19 Brown Street,Kilcoy 4515,-26.93817,152.56187,Australia,19 Brown Street Kilcoy 4515 QLD Australia,1,Inner Regional,21,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
268,QLD,KINGAROY HOSPITAL,,310000070,,Y,Hospital,,166 Youngman Street,Kingaroy 4610,-26.532261,151.838882,Australia,166 Youngman Street Kingaroy 4610 QLD Australia,1,Inner Regional,47,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
402,QLD,KIRWAN MENTAL HEALTH REHABILITATION UNIT,,340000715,,Y,Hospital,,138 Thuringowa Drive,Kirwan 4817,-19.305769,146.733837,Australia,138 Thuringowa Drive Kirwan 4817 QLD Australia,2,Outer Regional,34,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
379,QLD,KOWANYAMA PRIMARY HEALTH CARE CENTRE,,310000253,,Y,Hospital,,Carrington Street,Kowanyama 4871,-15.476058,141.746687,Australia,Carrington Street Kowanyama 4871 QLD Australia,4,Very remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
255,QLD,LAIDLEY HOSPITAL,,310000047,,Y,Hospital,,75 William Street,Laidley 4341,-27.632553,152.401252,Australia,75 William Street Laidley 4341 QLD Australia,1,Inner Regional,15,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
387,QLD,LAURA PRIMARY HEALTH CARE CENTRE,,310000915,,Y,Hospital,,Queensland Country Women's Association Hall,Glenmorgan 4423,44.64357,-64.017433,Australia,Queensland Country Women's Association Hall Glenmorgan 4423 QLD Australia,4,Very remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
366,QLD,LOCKHART RIVER PRIMARY HEALTH CARE CENTRE,,310000233,,Y,Hospital,,Paytam Street,Lockhart River 4871,-12.786663,143.344306,Australia,Paytam Street Lockhart River 4871 QLD Australia,4,Very remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
247,QLD,LOGAN HOSPITAL,21,310000029,,,Hospital,,Corner of Armstrong and Loganlea Roads,Meadowbrook 4131,-27.67029,153.1415558,Australia,Corner of Armstrong and Loganlea Roads Meadowbrook 4131 QLD Australia,0,Major Cities,332,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
322,QLD,LONGREACH HOSPITAL,,310000156,,Y,Hospital,,Jabiru Street,Longreach 4730,,,Australia,Jabiru Street Longreach 4730 QLD Australia,4,Very remote,31,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D3,Small remote acute,SM
330,QLD,MACKAY BASE HOSPITAL,14,310000172,,,Hospital,,475 Bridge Road,Mackay 4740,-21.159674,149.172987,Australia,475 Bridge Road Mackay 4740 QLD Australia,1,Inner Regional,182,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
388,QLD,MAGNETIC ISLAND HEALTH SERVICE CENTRE,,310000916,,Y,Hospital,,1 Gladwell Street,Laura 4871,-38.38224,144.798935,Australia,1 Gladwell Street Laura 4871 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
394,QLD,MALAKOOLA PRIMARY HEALTH CARE CENTRE,,310000928,,Y,Hospital,,27 Kuradilla Street,Ravenshoe 4888,-17.607123,145.482074,Australia,27 Kuradilla Street Ravenshoe 4888 QLD Australia,4,Very remote,1,OT,Outpatient hospital,Yes,No,No,No,G,Un-peered and other,SP
389,QLD,MALANDA OUTPATIENTS CLINIC,,310000917,,Y,Hospital,,76 Sooning Street,Nelly Bay 4819,-19.15745,146.849854,Australia,76 Sooning Street Nelly Bay 4819 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
256,QLD,MALENY HOSPITAL,,310000048,,Y,Hospital,,Bean Street,Maleny 4552,-26.755055,152.845489,Australia,Bean Street Maleny 4552 QLD Australia,1,Inner Regional,24,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
399,QLD,MAPOON PRIMARY HEALTH CARE CENTRE,,310000965,,Y,Hospital,,Main Street,Mapoon 4874,-12.15903,142.81045,Australia,Main Street Mapoon 4874 QLD Australia,4,Very remote,1,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
356,QLD,MAREEBA HOSPITAL,,310000223,,Y,Hospital,,21 Lloyd Street,Mareeba 4880,,,Australia,21 Lloyd Street Mareeba 4880 QLD Australia,2,Outer Regional,48,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,C2,Medium (group 2),SM
245,QLD,MARIE ROSE CENTRE,,310000025,,Y,Hospital,,Corner of Petrie Street and Oxley Parade,Dunwich 4183,-27.4975358,153.399811,Australia,Corner of Petrie Street and Oxley Parade Dunwich 4183 QLD Australia,2,Outer Regional,0,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
269,QLD,MARYBOROUGH HOSPITAL,18,310000071,,,Hospital,,185 Walker Street,Maryborough 4650,-25.5237264,152.6905369,Australia,185 Walker Street Maryborough 4650 QLD Australia,1,Inner Regional,98,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
234,QLD,MATER ADULT HOSPITAL,15,310000001,,,Hospital,,Raymond Terrace,South Brisbane 4101,-27.484992,153.02786,Australia,Raymond Terrace South Brisbane 4101 QLD Australia,0,Major Cities,262,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
235,QLD,MATER CHILDREN'S HOSPITAL,34,310000002,,,Hospital,,Raymond Terrace,South Brisbane 4101,-27.484992,153.02786,Australia,Raymond Terrace South Brisbane 4101 QLD Australia,0,Major Cities,161,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens,WC
236,QLD,MATER MOTHERS' HOSPITAL,,310000003,,Y,Hospital,,Raymond Terrace,South Brisbane 4101,-27.484992,153.02786,Australia,Raymond Terrace South Brisbane 4101 QLD Australia,0,Major Cities,128,W1,Womens,Yes,No,Yes,Yes,A2,Specialist womens and childrens,WC
390,QLD,MEANDARRA OUTPATIENTS CLINIC,,310000919,,Y,Hospital,,3/15 Catherine Street,Malanda 4885,-17.35387,145.593994,Australia,3/15 Catherine Street Malanda 4885 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
281,QLD,MILES HOSPITAL,,310000097,,Y,Hospital,,26 Colamba Street,Miles 4415,-26.655199,150.192734,Australia,26 Colamba Street Miles 4415 QLD Australia,2,Outer Regional,13,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
391,QLD,MILLAA MILLAA OUTPATIENTS CLINIC,,310000920,,Y,Hospital,,Gibson Street,Meandarra 4422,-27.326668,149.881207,Australia,Gibson Street Meandarra 4422 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
282,QLD,MILLMERRAN HOSPITAL,,310000098,,Y,Hospital,,50 Commens Street,Millmerran 4357,-27.8782099,151.2635958,Australia,50 Commens Street Millmerran 4357 QLD Australia,1,Inner Regional,11,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
296,QLD,MITCHELL HOSPITAL,,310000116,,Y,Hospital,,95 Ann Street,Mitchell 4465,-26.481906,147.969779,Australia,95 Ann Street Mitchell 4465 QLD Australia,4,Very remote,13,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
270,QLD,MONTO HOSPITAL,,310000072,,Y,Hospital,,35 Flinders Street,Monto 4630,-24.86137,151.108705,Australia,35 Flinders Street Monto 4630 QLD Australia,2,Outer Regional,14,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
396,QLD,MOONIE OUTPATIENTS CLINIC,,310000935,,Y,Hospital,,Moonie Highway,Moonie 4406,-27.717177,150.369754,Australia,Moonie Highway Moonie 4406 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
331,QLD,MORANBAH HOSPITAL,,310000173,,Y,Hospital,,Elliott Street,Moranbah 4744,,,Australia,Elliott Street Moranbah 4744 QLD Australia,2,Outer Regional,12,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
