MHid,State,Hospname,Wait Time,Establishment ID,Parent Id,Use Default wait time,Stage Average Wait Time,Unit,Medicare Prov Number,Address Line 1,Address Line 2,Latitude,Longitude,Australia,Full Address,Remoteness area (code),Remoteness area,Number of available beds,2012-13 Peer Group code,2012-13 Peer Group Name,Admissions reported,Emergency department,Elective surgery reported,Outpatient clinics,2011-12 Peer Group code,2011-12 Peer Group Name,Hospital Group
189,NSW,Narromine,,1185K2170,,Y,19,Hospital,0011850Y,128 Cathundral ST,Narromine 2821,-32.24268,148.239197,Australia,128 Cathundral ST Narromine 2821 NSW Australia,2,Outer Regional,25,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
190,NSW,Nyngan (MPS),,1185K2180,,Y,19,Hospital,0011900F,15 Hoskins ST,Nyngan 2825,-31.5618941,147.2027609,Australia,15 Hoskins ST Nyngan 2825 NSW Australia,3,Remote,6,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
191,NSW,Trangie (MPS),,1185K2190,,Y,19,Hospital,0012160W,28 Harris ST,Trangie 2823,-32.0311117,147.9764239,Australia,28 Harris ST Trangie 2823 NSW Australia,2,Outer Regional,20,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,SM
192,NSW,Walgett,,1185K2200,,Y,19,Hospital,0012280J,141 Fox ST,Walgett 2832,-30.026724,148.115809,Australia,141 Fox ST Walgett 2832 NSW Australia,3,Remote,21.2,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
193,NSW,Warren (MPS),,1185K2210,,Y,19,Hospital,0012310X,176 Doctor Kater DR,Warren 2824,-31.694155,147.837298,Australia,176 Doctor Kater DR Warren 2824 NSW Australia,2,Outer Regional,42,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
194,NSW,Wellington,,1185K2220,,Y,19,Hospital,0012350K,30 Thornton ST,Wellington 2820,-32.5497705,148.9510113,Australia,30 Thornton ST Wellington 2820 NSW Australia,2,Outer Regional,22,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
195,NSW,Lightning Ridge (MPS),,1185K2310,,Y,19,Hospital,0012850L,Lot 25 Pandora ST,Lightning Ridge 2834,-29.42812,147.98645,Australia,Lot 25 Pandora ST Lightning Ridge 2834 NSW Australia,3,Remote,24.1,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
196,NSW,Lourdes Dubbo,,1185K7510,,Y,19,Hospital,0012840T,110 Cobbora RD,Dubbo 2830,-32.2392796,148.6275733,Australia,110 Cobbora RD Dubbo 2830 NSW Australia,1,Inner Regional,34,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,G,Un-peered and other,SP
197,NSW,Bathurst,11,1185L2010,,N,19,Hospital,0010650T,361 Howick ST,Bathurst 2795,-33.414941,149.579224,Australia,361 Howick ST Bathurst 2795 NSW Australia,1,Inner Regional,115.4,L,Large public acute,Yes,Yes,Yes,Yes,B2,Large regional and remote,LG
198,NSW,Blayney (MPS),,1185L2020,,Y,19,Hospital,0010720W,3 Osman ST,Blayney 2799,-33.5378292,149.2516708,Australia,3 Osman ST Blayney 2799 NSW Australia,1,Inner Regional,25.1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
199,NSW,Canowindra,,1185L2030,,Y,19,Hospital,0010890Y,1 Browns AV,Canowindra 2804,-33.570881,148.658936,Australia,1 Browns AV Canowindra 2804 NSW Australia,1,Inner Regional,18.6,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
200,NSW,Condobolin,,1185L2050,,Y,19,Hospital,0010990W,1 Madline ST,Condobolin 2877,-33.0827462,147.1520654,Australia,1 Madline ST Condobolin 2877 NSW Australia,2,Outer Regional,22,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
201,NSW,Cowra,,1185L2060,,Y,19,Hospital,0011090A,64 Liverpool ST,Cowra 2794,-33.832401,148.692245,Australia,64 Liverpool ST Cowra 2794 NSW Australia,1,Inner Regional,32.1,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
202,NSW,Cudal,,1185L2070,,Y,19,Hospital,,Cnr Cargo and Toogong Streets,Cudal 2864,-33.2862816,148.740036,Australia,Cnr Cargo and Toogong Streets Cudal 2864 NSW Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
203,NSW,Eugowra (MPS),,1185L2080,,Y,19,Hospital,0011200K,1 Cooper ST,Eugowra 2806,-33.425165,148.366526,Australia,1 Cooper ST Eugowra 2806 NSW Australia,2,Outer Regional,12.2,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
204,NSW,Forbes,,1185L2090,,Y,19,Hospital,0011220H,Lot 1 Elgin ST,Forbes 2871,-33.395831,148.01466,Australia,Lot 1 Elgin ST Forbes 2871 NSW Australia,2,Outer Regional,36,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
205,NSW,Grenfell (MPS),,1185L2100,,Y,19,Hospital,0011320B,80-96 Cowra RD,Grenfell 2810,-33.873216,147.946866,Australia,80-96 Cowra RD Grenfell 2810 NSW Australia,2,Outer Regional,34,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,SM
206,NSW,Molong,,1185L2140,,Y,19,Hospital,0011750B,130 King ST,Molong 2866,-33.092826,148.858412,Australia,130 King ST Molong 2866 NSW Australia,1,Inner Regional,27,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,SM
207,NSW,Oberon (MPS),,1185L2150,,Y,19,Hospital,0011910B,67-73 North ST,Oberon 2787,-33.705391,149.853027,Australia,67-73 North ST Oberon 2787 NSW Australia,1,Inner Regional,30,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
208,NSW,Orange Health Service,14,1185L2160,,N,19,Hospital,0011920A,1502 Forest RD,Orange 2800,-33.3209,149.095047,Australia,1502 Forest RD Orange 2800 NSW Australia,1,Inner Regional,318.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
209,NSW,Parkes,,1185L2170,,Y,19,Hospital,0011940X,18 Coleman RD,Parkes 2870,-33.127319,148.170227,Australia,18 Coleman RD Parkes 2870 NSW Australia,2,Outer Regional,35.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
210,NSW,Peak Hill,,1185L2180,,Y,19,Hospital,0011950W,111 Newell HWY,Peak Hill 2869,-32.725868,148.192108,Australia,111 Newell HWY Peak Hill 2869 NSW Australia,2,Outer Regional,13.4,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
211,NSW,Trundle (MPS),,1185L2190,,Y,19,Hospital,0012580X,44 Brookview ST,Trundle 2875,-32.9181728,147.704867,Australia,44 Brookview ST Trundle 2875 NSW Australia,2,Outer Regional,11,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,SM
212,NSW,Rylstone (MPS),,1185L2210,,Y,19,Hospital,0012010J,24 Fitzgerald ST,Rylstone 2849,-32.803574,149.975431,Australia,24 Fitzgerald ST Rylstone 2849 NSW Australia,2,Outer Regional,26,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
213,NSW,Tottenham (MPS),,1185L2230,,Y,19,Hospital,0012150X,Lot 10 Moondana ST,Tottenham 2873,-32.242875,147.356717,Australia,Lot 10 Moondana ST Tottenham 2873 NSW Australia,3,Remote,3.6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
214,NSW,Tullamore (MPS),,1185L2240,,Y,19,Hospital,0012170T,1 Hinkler ST,Tullamore 2874,-32.635493,147.5692847,Australia,1 Hinkler ST Tullamore 2874 NSW Australia,2,Outer Regional,3.9,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
215,NSW,Menindee Health Service,,1186K1010,,Y,19,Hospital,,Perry ST,Menindee 2879,-32.391976,142.417485,Australia,Perry ST Menindee 2879 NSW Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,E2,Multi-purpose services,SP
216,NSW,Balranald (MPS),,1186M2020,,Y,19,Hospital,0010590K,41-43 Court ST,Balranald 2715,-34.6451,143.569427,Australia,41-43 Court ST Balranald 2715 NSW Australia,2,Outer Regional,8,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
217,NSW,Wentworth,,1186M2160,,Y,19,Hospital,0012360J,1 Silver City HWY,Wentworth 2648,-34.040667,141.837914,Australia,1 Silver City HWY Wentworth 2648 NSW Australia,2,Outer Regional,20,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
218,NSW,Broken Hill,26,1186S2010,,N,19,Hospital,0010830K,176 Thomas ST,Broken Hill 2880,-31.947395,141.456696,Australia,176 Thomas ST Broken Hill 2880 NSW Australia,2,Outer Regional,95.8,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
219,NSW,Ivanhoe,,1186S2020,,Y,19,Hospital,0011490H,1 Columbus ST,Ivanhoe 2878,-32.896016,144.29739,Australia,1 Columbus ST Ivanhoe 2878 NSW Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
220,NSW,Tibooburra,,1186S2030,,Y,19,Hospital,0012120B,1 Sturt ST,Tibooburra 2880,-29.431748,142.012546,Australia,1 Sturt ST Tibooburra 2880 NSW Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
221,NSW,Wilcannia (MPS),,1186S2040,,Y,19,Hospital,0012380F,14 Ross ST,Wilcannia 2836,-31.556391,143.385315,Australia,14 Ross ST Wilcannia 2836 NSW Australia,4,Very remote,8,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,SM
222,NSW,Thomas Walker,,1470A2360,,Y,19,Hospital,,Hospital RD,Concord Repatriation Hospital 2139,-33.8397516,151.0881882,Australia,Hospital RD Concord Repatriation Hospital 2139 NSW Australia,0,Major Cities,16.3,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
223,NSW,Cumberland,,1474D1020,,Y,19,Hospital,,1-11 Hainsworth ST,Westmead 2145,-33.8039352,150.9948693,Australia,1-11 Hainsworth ST Westmead 2145 NSW Australia,0,Major Cities,310.3,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
224,NSW,Macquarie,,1476B1010,,Y,19,Hospital,,1 Wicks RD,North Ryde 2113,-33.788659,151.133176,Australia,1 Wicks RD North Ryde 2113 NSW Australia,0,Major Cities,193.9,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
225,NSW,Coral Tree Family Centre,,1476B2410,,Y,19,Hospital,,Pacific HWY,North Ryde 2113,-30.5089543,153.0028989,Australia,Pacific HWY North Ryde 2113 NSW Australia,0,Major Cities,10,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
226,NSW,Morisset,,1480Q1010,,Y,19,Hospital,,143 Dora ST,Morisset 2264,-33.1127955,151.47854,Australia,143 Dora ST Morisset 2264 NSW Australia,0,Major Cities,129.6,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
227,NSW,Hunter New England Mater Mental Health Service,,1480Q1020,,Y,19,Hospital,,72 Watt ST,Newcastle 2300,-32.931301,151.78186,Australia,72 Watt ST Newcastle 2300 NSW Australia,0,Major Cities,119.9,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
228,NSW,Kenmore,,1483N1010,,Y,19,Hospital,,Taralga RD,Goulburn 2580,-34.718222,149.752403,Australia,Taralga RD Goulburn 2580 NSW Australia,1,Inner Regional,54,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
229,NT,Royal Darwin Hospital,,717100071,,Y,35,Hospital,,Rocklands DV,Tiwi 810,-19.718396,138.064108,Australia,Rocklands DV Tiwi 810 NT Australia,2,Outer Regional,367,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
230,NT,Alice Springs Hospital,,717100072,,Y,35,Hospital,,Gap RD,Alice Springs 870,-23.704875,133.880189,Australia,Gap RD Alice Springs 870 NT Australia,3,Remote,183,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
231,NT,Tennant Creek Hospital,,717100073,,Y,35,Hospital,,Schmidt ST,Tennant Creek 860,-19.643612,134.189067,Australia,Schmidt ST Tennant Creek 860 NT Australia,4,Very remote,20,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,SM
232,NT,Katherine Hospital,,717100074,,Y,35,Hospital,,Gorge RD,Katherine 850,-14.43906,132.276915,Australia,Gorge RD Katherine 850 NT Australia,3,Remote,60,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,SM
233,NT,Gove Hospital,,717100075,,Y,35,Hospital,,Mathew Flinders WAY,Nhulunbuy 880,-12.186582,136.78085,Australia,Mathew Flinders WAY Nhulunbuy 880 NT Australia,4,Very remote,34,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,SM
234,QLD,MATER ADULT HOSPITAL,15,310000001,,N,18,Hospital,,Raymond Terrace,South Brisbane 4101,-27.484992,153.02786,Australia,Raymond Terrace South Brisbane 4101 QLD Australia,0,Major Cities,262,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
235,QLD,MATER CHILDREN'S HOSPITAL,34,310000002,,N,18,Hospital,,Raymond Terrace,South Brisbane 4101,-27.484992,153.02786,Australia,Raymond Terrace South Brisbane 4101 QLD Australia,0,Major Cities,161,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens,WC
236,QLD,MATER MOTHERS' HOSPITAL,,310000003,,Y,18,Hospital,,Raymond Terrace,South Brisbane 4101,-27.484992,153.02786,Australia,Raymond Terrace South Brisbane 4101 QLD Australia,0,Major Cities,128,W1,Womens,Yes,No,Yes,Yes,A2,Specialist womens and childrens,WC
237,QLD,THE PRINCE CHARLES HOSPITAL,20,310000004,,N,18,Hospital,,Rode Road,Chermside 4032,-27.391664,153.013247,Australia,Rode Road Chermside 4032 QLD Australia,0,Major Cities,624,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
238,QLD,ROYAL CHILDREN'S HOSPITAL,13,310000007,,N,18,Hospital,,Herston Road,Herston 4006,-27.449736,153.026814,Australia,Herston Road Herston 4006 QLD Australia,0,Major Cities,201,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens,WC
239,QLD,PRINCESS ALEXANDRA HOSPITAL,10,310000011,,N,18,Hospital,,199 Ipswich Road,Woolloongabba 4102,-27.496084,153.034923,Australia,199 Ipswich Road Woolloongabba 4102 QLD Australia,0,Major Cities,944,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
240,QLD,IPSWICH HOSPITAL,26,310000015,,N,18,Hospital,,Chelmsford Avenue,Ipswich 4305,-27.618858,152.755733,Australia,Chelmsford Avenue Ipswich 4305 QLD Australia,0,Major Cities,341,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
241,QLD,REDCLIFFE HOSPITAL,28,310000016,,N,18,Hospital,,Anzac Avenue,Redcliffe 4020,-27.229972,153.107761,Australia,Anzac Avenue Redcliffe 4020 QLD Australia,0,Major Cities,352,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
242,QLD,ELLEN BARRON FAMILY CENTRE,,310000017,,Y,18,Hospital,,Hamilton Road,Chermside 4032,-27.38242,153.00759,Australia,Hamilton Road Chermside 4032 QLD Australia,0,Major Cities,48,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft,WC
243,QLD,QUEEN ELIZABETH II JUBILEE HOSPITAL,16,310000022,,N,18,Hospital,,Corner of Kessels and Troughton Roads,Coopers Plains 4108,-27.5592594,153.0489655,Australia,Corner of Kessels and Troughton Roads Coopers Plains 4108 QLD Australia,0,Major Cities,165,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
244,QLD,WYNNUM HOSPITAL,,310000024,,Y,18,Hospital,,Whites Road,Lota 4179,-27.469725,153.1833,Australia,Whites Road Lota 4179 QLD Australia,0,Major Cities,21,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other,SP
245,QLD,MARIE ROSE CENTRE,,310000025,,Y,18,Hospital,,Corner of Petrie Street and Oxley Parade,Dunwich 4183,-27.4975358,153.399811,Australia,Corner of Petrie Street and Oxley Parade Dunwich 4183 QLD Australia,2,Outer Regional,0,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
246,QLD,REDLAND HOSPITAL,26,310000028,,N,18,Hospital,,Weippin Street,Cleveland 4163,-27.541482,153.250821,Australia,Weippin Street Cleveland 4163 QLD Australia,0,Major Cities,151,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
247,QLD,LOGAN HOSPITAL,21,310000029,,N,18,Hospital,,Corner of Armstrong and Loganlea Roads,Meadowbrook 4131,-27.67029,153.1415558,Australia,Corner of Armstrong and Loganlea Roads Meadowbrook 4131 QLD Australia,0,Major Cities,332,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
248,QLD,CABOOLTURE HOSPITAL,23,310000030,,N,18,Hospital,,McKean Street,Caboolture 4510,-27.078739,152.957281,Australia,McKean Street Caboolture 4510 QLD Australia,0,Major Cities,223,M,Medium public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
249,QLD,BEAUDESERT HOSPITAL,,310000041,,Y,18,Hospital,,64 Tina Street,Beaudesert 4285,-27.98568,153.002304,Australia,64 Tina Street Beaudesert 4285 QLD Australia,1,Inner Regional,22,S2,Other small public acute,Yes,No,Yes,No,D2,Small non-acute,SM
250,QLD,BOONAH HOSPITAL,,310000042,,Y,18,Hospital,,11-17 Leonard Street,Boonah 4310,-27.9991052,152.6780064,Australia,11-17 Leonard Street Boonah 4310 QLD Australia,1,Inner Regional,23,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
251,QLD,CALOUNDRA HOSPITAL,15,310000043,,N,18,Hospital,,West Terrace,Caloundra 4551,-26.795872,153.100839,Australia,West Terrace Caloundra 4551 QLD Australia,0,Major Cities,88,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
252,QLD,ESK HOSPITAL,,310000044,,Y,18,Hospital,,30 Highland Street,Esk 4312,-27.2404,152.418137,Australia,30 Highland Street Esk 4312 QLD Australia,1,Inner Regional,20,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
253,QLD,GATTON HOSPITAL,,310000045,,Y,18,Hospital,,97-103 William Street,Gatton 4343,-27.56682,152.27623,Australia,97-103 William Street Gatton 4343 QLD Australia,1,Inner Regional,22,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
254,QLD,KILCOY HOSPITAL,,310000046,,Y,18,Hospital,,19 Brown Street,Kilcoy 4515,-26.93817,152.56187,Australia,19 Brown Street Kilcoy 4515 QLD Australia,1,Inner Regional,21,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
255,QLD,LAIDLEY HOSPITAL,,310000047,,Y,18,Hospital,,75 William Street,Laidley 4341,-27.632553,152.401252,Australia,75 William Street Laidley 4341 QLD Australia,1,Inner Regional,15,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
256,QLD,MALENY HOSPITAL,,310000048,,Y,18,Hospital,,Bean Street,Maleny 4552,-26.755055,152.845489,Australia,Bean Street Maleny 4552 QLD Australia,1,Inner Regional,24,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
257,QLD,NAMBOUR HOSPITAL,19,310000049,,N,18,Hospital,,Hospital Road,Nambour 4560,-26.622058,152.953151,Australia,Hospital Road Nambour 4560 QLD Australia,0,Major Cities,441,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
258,QLD,GOLD COAST HOSPITAL,31,310000050,,N,18,Hospital,,1 Hospital Boulevard,Southport 4215,-27.9709702,153.4088898,Australia,1 Hospital Boulevard Southport 4215 QLD Australia,0,Major Cities,570,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
259,QLD,BIGGENDEN HOSPITAL,,310000061,,Y,18,Hospital,,Alice Street,Biggenden 4621,-25.506506,152.050372,Australia,Alice Street Biggenden 4621 QLD Australia,2,Outer Regional,7,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
260,QLD,BUNDABERG HOSPITAL,18,310000062,,N,18,Hospital,,Bourbong Street,Bundaberg 4670,-24.864543,152.354305,Australia,Bourbong Street Bundaberg 4670 QLD Australia,1,Inner Regional,243,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
261,QLD,CHERBOURG HOSPITAL,,310000063,,Y,18,Hospital,,Fisher Street,Cherbourg 4605,-26.294919,151.95432,Australia,Fisher Street Cherbourg 4605 QLD Australia,2,Outer Regional,17,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
262,QLD,CHILDERS HOSPITAL,,310000064,,Y,18,Hospital,,44 Broadhurst Street,Childers 4660,-25.2398181,152.2740162,Australia,44 Broadhurst Street Childers 4660 QLD Australia,1,Inner Regional,14,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
263,QLD,EIDSVOLD HOSPITAL,,310000065,,Y,18,Hospital,,Cracow Road,Eidsvold 4627,-25.381791,150.854992,Australia,Cracow Road Eidsvold 4627 QLD Australia,2,Outer Regional,6,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,SM
264,QLD,GAYNDAH HOSPITAL,,310000066,,Y,18,Hospital,,69 Warton Street,Gayndah 4625,-25.628291,151.605718,Australia,69 Warton Street Gayndah 4625 QLD Australia,2,Outer Regional,12,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
265,QLD,GIN GIN HOSPITAL,,310000067,,Y,18,Hospital,,5 King Street,Gin Gin 4671,-24.9868289,151.9534439,Australia,5 King Street Gin Gin 4671 QLD Australia,2,Outer Regional,6,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
266,QLD,GYMPIE HOSPITAL,14,310000068,,N,18,Hospital,,12 Henry Street,Gympie 4570,-26.33453,152.818054,Australia,12 Henry Street Gympie 4570 QLD Australia,1,Inner Regional,89,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
267,QLD,HERVEY BAY HOSPITAL,19,310000069,,N,18,Hospital,,Corner of Nissen and Uraween Roads,Pialba 4655,-25.2991905,152.8212585,Australia,Corner of Nissen and Uraween Roads Pialba 4655 QLD Australia,1,Inner Regional,151,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
268,QLD,KINGAROY HOSPITAL,,310000070,,Y,18,Hospital,,166 Youngman Street,Kingaroy 4610,-26.532261,151.838882,Australia,166 Youngman Street Kingaroy 4610 QLD Australia,1,Inner Regional,47,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
269,QLD,MARYBOROUGH HOSPITAL,18,310000071,,N,18,Hospital,,185 Walker Street,Maryborough 4650,-25.5237264,152.6905369,Australia,185 Walker Street Maryborough 4650 QLD Australia,1,Inner Regional,98,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
270,QLD,MONTO HOSPITAL,,310000072,,Y,18,Hospital,,35 Flinders Street,Monto 4630,-24.86137,151.108705,Australia,35 Flinders Street Monto 4630 QLD Australia,2,Outer Regional,14,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
271,QLD,MOUNT PERRY HEALTH CENTRE,,310000073,,Y,18,Hospital,,150 Heussman Street,Mount Perry 4671,-25.1812741,151.6467064,Australia,150 Heussman Street Mount Perry 4671 QLD Australia,2,Outer Regional,2,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
272,QLD,MUNDUBBERA HOSPITAL,,310000074,,Y,18,Hospital,,96 Leichhardt Street,Mundubbera 4626,-25.587111,151.294128,Australia,96 Leichhardt Street Mundubbera 4626 QLD Australia,2,Outer Regional,6,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
273,QLD,MURGON HOSPITAL,,310000075,,Y,18,Hospital,,Coronation Drive,Murgon 4605,-26.238049,151.947373,Australia,Coronation Drive Murgon 4605 QLD Australia,2,Outer Regional,15,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
274,QLD,NANANGO HOSPITAL,,310000076,,Y,18,Hospital,,135 Brisbane Street,Nanango 4615,-26.66646,152.008316,Australia,135 Brisbane Street Nanango 4615 QLD Australia,1,Inner Regional,10,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
275,QLD,WONDAI HOSPITAL,,310000077,,Y,18,Hospital,,Bramston Street,Wondai 4606,-26.321374,151.878202,Australia,Bramston Street Wondai 4606 QLD Australia,2,Outer Regional,5,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
276,QLD,CHINCHILLA HOSPITAL,,310000091,,Y,18,Hospital,,Slessar Street,Chinchilla 4413,-26.744844,150.639785,Australia,Slessar Street Chinchilla 4413 QLD Australia,2,Outer Regional,26,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
277,QLD,DALBY HOSPITAL,,310000092,,Y,18,Hospital,,Hospital Road,Dalby 4405,-27.17078,151.276139,Australia,Hospital Road Dalby 4405 QLD Australia,1,Inner Regional,46,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,C2,Medium (group 2),SM
278,QLD,GOONDIWINDI HOSPITAL,,310000093,,Y,18,Hospital,,Bowen Street,Goondiwindi 4390,-28.548471,150.308452,Australia,Bowen Street Goondiwindi 4390 QLD Australia,2,Outer Regional,37,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
279,QLD,INGLEWOOD HOSPITAL,,310000094,,Y,18,Hospital,,Cunningham Highway,Inglewood 4387,-28.411846,151.105305,Australia,Cunningham Highway Inglewood 4387 QLD Australia,2,Outer Regional,12,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,SM
280,QLD,JANDOWAE HOSPITAL,,310000095,,Y,18,Hospital,,13 Dalby Street,Jandowae 4410,-26.777516,151.111943,Australia,13 Dalby Street Jandowae 4410 QLD Australia,2,Outer Regional,12,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
281,QLD,MILES HOSPITAL,,310000097,,Y,18,Hospital,,26 Colamba Street,Miles 4415,-26.655199,150.192734,Australia,26 Colamba Street Miles 4415 QLD Australia,2,Outer Regional,13,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
282,QLD,MILLMERRAN HOSPITAL,,310000098,,Y,18,Hospital,,50 Commens Street,Millmerran 4357,-27.8782099,151.2635958,Australia,50 Commens Street Millmerran 4357 QLD Australia,1,Inner Regional,11,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
283,QLD,OAKEY HOSPITAL,,310000099,,Y,18,Hospital,,Corner Beale and Fitzpatrick Streets,Oakey 4401,,,Australia,Corner Beale and Fitzpatrick Streets Oakey 4401 QLD Australia,1,Inner Regional,9,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
284,QLD,STANTHORPE HOSPITAL,,310000100,,Y,18,Hospital,,8 McGregor Terrace,Stanthorpe 4380,-28.66095,151.928543,Australia,8 McGregor Terrace Stanthorpe 4380 QLD Australia,2,Outer Regional,46,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
285,QLD,TARA HOSPITAL,,310000101,,Y,18,Hospital,,15 Bilton Street,Tara 4421,-27.274079,150.455735,Australia,15 Bilton Street Tara 4421 QLD Australia,2,Outer Regional,15,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
